,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,day_of_the_week
148,9338,"2006,8,12",19:04,17,1,磐田,鹿島,57,12,24.9,80,30353,7
149,9339,"2006,8,12",19:01,17,1,名古屋,甲府,26,12,27.1,73,12454,7
150,9340,"2006,8,12",19:04,17,1,京都,G大阪,23,1,27.3,76,16089,7
151,9341,"2006,8,12",19:00,17,1,C大阪,大宮,31,1,29.4,69,12616,7
152,9342,"2006,8,12",19:04,17,1,福岡,大分,46,1,28.7,75,18205,7
153,9343,"2006,8,19",19:04,18,1,鹿島,浦和,52,12,27.8,82,34236,7
154,9344,"2006,8,19",19:04,18,1,大宮,G大阪,4,1,30.4,66,11355,7
155,9345,"2006,8,19",19:04,18,1,新潟,川崎F,39,1,29.8,83,38611,7
156,9346,"2006,8,19",19:04,18,1,清水,甲府,40,1,27.4,80,15410,7
157,9347,"2006,8,19",19:00,18,1,名古屋,磐田,26,1,28.4,80,14392,7
158,9348,"2006,8,19",19:02,18,1,C大阪,横浜FM,31,12,30.6,66,18609,7
159,9349,"2006,8,19",19:00,18,1,福岡,京都,46,12,24.4,84,10387,7
160,9350,"2006,8,20",18:05,18,2,広島,大分,38,1,27.9,82,10145,0
161,9351,"2006,8,20",19:04,18,2,千葉,FC東京,14,1,27.3,89,17261,0
162,9352,"2006,8,23",19:04,19,1,浦和,新潟,29,1,27.6,84,34417,4
163,9353,"2006,8,23",19:04,19,1,FC東京,福岡,28,12,28.6,64,18533,4
164,9354,"2006,8,23",19:01,19,1,川崎F,名古屋,55,12,28.8,67,11306,4
165,9355,"2006,8,23",19:05,19,1,横浜FM,大宮,49,12,27.1,80,11623,4
166,9356,"2006,8,23",19:04,19,1,甲府,鹿島,35,12,27.3,76,12115,4
167,9357,"2006,8,23",19:02,19,1,磐田,千葉,17,12,27.6,81,11992,4
168,9358,"2006,8,23",19:04,19,1,京都,C大阪,23,1,27.5,61,11291,4
169,9359,"2006,8,23",19:04,19,1,G大阪,広島,21,1,27.4,55,17826,4
170,9360,"2006,8,23",19:04,19,1,大分,清水,22,1,29.3,70,18864,4
171,9361,"2006,8,26",18:03,20,1,大宮,川崎F,51,12,25.5,72,9076,7
172,9362,"2006,8,26",18:30,20,1,鹿島,広島,52,12,26.0,64,14052,7
173,9363,"2006,8,26",18:34,20,1,甲府,磐田,35,32,25.1,75,14227,7
174,9364,"2006,8,26",19:04,20,1,新潟,大分,39,1,27.0,62,40466,7
175,9365,"2006,8,26",19:04,20,1,清水,FC東京,40,12,26.8,58,16177,7
176,9366,"2006,8,26",19:05,20,1,C大阪,浦和,31,12,29.3,69,23386,7
177,9367,"2006,8,26",19:00,20,1,福岡,千葉,46,1,26.6,86,17738,7
178,9368,"2006,8,27",19:05,20,2,名古屋,G大阪,26,12,27.0,73,17556,0
179,9369,"2006,8,27",19:04,20,2,京都,横浜FM,23,12,26.3,89,8886,0
180,9370,"2006,8,30",18:30,21,1,千葉,川崎F,14,12,24.2,82,11433,4
181,9371,"2006,8,30",18:59,21,1,鹿島,名古屋,52,12,24.4,84,9457,4
182,9372,"2006,8,30",19:04,21,1,大宮,福岡,4,12,25.9,68,4873,4
183,9373,"2006,8,30",19:04,21,1,FC東京,C大阪,28,12,26.3,60,21041,4
184,9374,"2006,8,30",19:05,21,1,横浜FM,甲府,49,34,25.1,74,12384,4
185,9375,"2006,8,30",19:00,21,1,清水,京都,40,12,26.7,83,9249,4
186,9376,"2006,8,30",19:03,21,1,G大阪,新潟,21,12,26.1,63,13979,4
187,9377,"2006,8,30",19:04,21,1,広島,磐田,38,12,25.4,80,9513,4
188,9378,"2006,8,30",19:04,21,1,大分,浦和,22,0,25.7,90,27843,4
189,9379,"2006,9,9",16:04,22,1,横浜FM,川崎F,41,2,29.3,68,22769,7
190,9380,"2006,9,9",18:02,22,1,広島,名古屋,38,12,25.6,90,9299,7
191,9381,"2006,9,9",18:34,22,1,FC東京,甲府,27,12,27.5,79,21382,7
192,9382,"2006,9,9",19:04,22,1,千葉,清水,14,12,26.2,86,13463,7
193,9383,"2006,9,9",19:00,22,1,磐田,新潟,17,1,27.0,90,11471,7
194,9384,"2006,9,9",19:04,22,1,G大阪,C大阪,21,1,29.4,64,20463,7
195,9385,"2006,9,9",19:04,22,1,大分,福岡,22,0,25.8,86,26841,7
196,9386,"2006,9,10",19:04,22,2,鹿島,京都,52,1,27.3,77,9142,0
197,9387,"2006,9,10",19:05,22,2,大宮,浦和,29,1,28.6,75,35059,0
198,9388,"2006,9,16",14:04,23,1,京都,FC東京,23,12,26.1,59,8440,7
199,9389,"2006,9,16",14:04,23,1,大分,G大阪,22,27,26.3,88,25384,7
200,9390,"2006,9,16",15:04,23,1,清水,鹿島,28,12,25.3,46,20800,7
201,9391,"2006,9,16",19:04,23,1,浦和,広島,29,12,21.3,76,39123,7
202,9392,"2006,9,16",19:00,23,1,名古屋,新潟,26,12,24.2,58,9308,7
203,9393,"2006,9,16",19:04,23,1,C大阪,千葉,31,1,25.0,57,19036,7
204,9394,"2006,9,16",19:04,23,1,福岡,横浜FM,46,34,23.1,88,12519,7
205,9395,"2006,9,17",19:04,23,2,川崎F,磐田,55,32,21.3,88,15482,0
206,9396,"2006,9,17",19:04,23,2,甲府,大宮,35,12,22.3,79,10150,0
207,9397,"2006,9,23",15:04,24,1,浦和,清水,29,1,23.3,58,48378,7
208,9398,"2006,9,23",15:05,24,1,横浜FM,名古屋,41,1,23.6,42,21665,7
209,9399,"2006,9,23",15:02,24,1,福岡,C大阪,46,1,22.9,55,12654,7
210,9400,"2006,9,23",15:34,24,1,磐田,大分,17,9,25.2,43,11218,7
211,9401,"2006,9,23",16:00,24,1,広島,大宮,38,1,25.3,41,10265,7
212,9402,"2006,9,23",18:34,24,1,千葉,京都,14,26,20.3,64,10857,7
213,9403,"2006,9,23",19:03,24,1,G大阪,川崎F,21,1,19.8,57,17544,7
214,9404,"2006,9,24",15:04,24,2,鹿島,FC東京,52,1,23.0,52,17398,0
215,9405,"2006,9,24",15:04,24,2,新潟,甲府,39,1,21.4,47,40422,0
216,9406,"2006,9,30",15:03,25,1,FC東京,新潟,27,1,25.3,49,24136,7
217,9407,"2006,9,30",15:04,25,1,川崎F,広島,55,12,24.7,54,12029,7
218,9408,"2006,9,30",15:04,25,1,横浜FM,磐田,41,12,24.3,53,25435,7
219,9409,"2006,9,30",17:04,25,1,京都,浦和,23,1,23.4,49,16492,7
220,9410,"2006,9,30",18:31,25,1,千葉,大分,14,1,21.8,80,10609,7
221,9411,"2006,9,30",19:04,25,1,大宮,名古屋,4,12,22.3,78,8223,7
222,9412,"2006,9,30",19:04,25,1,C大阪,鹿島,31,1,23.8,45,15186,7
223,9413,"2006,10,1",15:04,25,2,甲府,G大阪,35,32,19.8,76,15462,0
224,9414,"2006,10,1",15:04,25,2,清水,福岡,40,32,19.5,81,10807,0
225,9415,"2006,10,6",19:05,26,1,京都,大宮,23,1,21.6,68,5237,6
226,9416,"2006,10,7",15:04,26,2,浦和,千葉,29,1,23.0,45,48952,7
227,9417,"2006,10,7",15:01,26,2,川崎F,大分,55,1,24.0,40,10282,7
228,9418,"2006,10,7",18:05,26,2,甲府,広島,35,1,18.9,45,10222,7
229,9419,"2006,10,7",14:04,26,2,新潟,横浜FM,39,32,16.3,69,35603,7
230,9420,"2006,10,7",15:04,26,2,磐田,G大阪,57,1,24.4,36,21066,7
231,9421,"2006,10,7",14:04,26,2,名古屋,FC東京,26,1,23.5,40,10840,7
232,9422,"2006,10,7",15:04,26,2,C大阪,清水,32,26,20.6,49,7013,7
233,9423,"2006,10,7",15:02,26,2,福岡,鹿島,46,1,22.8,59,12181,7
234,9424,"2006,10,14",15:04,27,1,鹿島,千葉,52,1,19.1,46,15315,7
235,9425,"2006,10,14",19:04,27,1,川崎F,甲府,55,12,17.9,54,14383,7
236,9426,"2006,10,14",15:04,27,1,新潟,京都,39,1,21.6,45,36272,7
237,9427,"2006,10,14",15:04,27,1,磐田,大宮,17,12,22.0,46,11490,7
238,9428,"2006,10,14",14:02,27,1,名古屋,清水,26,13,23.5,51,9888,7
239,9429,"2006,10,14",14:04,27,1,G大阪,横浜FM,21,1,26.3,45,16281,7
240,9430,"2006,10,14",14:04,27,1,大分,C大阪,50,1,33.1,26,12843,7
241,9431,"2006,10,15",15:04,27,2,浦和,福岡,4,1,21.8,47,17541,0
242,9432,"2006,10,15",15:05,27,2,広島,FC東京,38,1,24.4,43,11689,0
243,9433,"2006,10,21",16:03,28,1,浦和,川崎F,29,1,18.9,65,50134,7
244,9434,"2006,10,21",15:04,28,1,千葉,大宮,14,1,20.3,54,12863,7
245,9435,"2006,10,21",14:04,28,1,横浜FM,鹿島,41,1,21.3,52,24333,7
246,9436,"2006,10,21",13:04,28,1,甲府,名古屋,35,1,24.3,42,9747,7
247,9437,"2006,10,21",15:04,28,1,清水,新潟,40,1,21.8,66,13244,7
248,9438,"2006,10,21",14:04,28,1,京都,大分,23,1,23.1,40,8491,7
249,9439,"2006,10,21",15:04,28,1,福岡,磐田,46,1,24.8,37,16445,7
250,9440,"2006,10,22",15:04,28,2,FC東京,G大阪,27,12,21.8,60,36161,0
251,9441,"2006,10,22",15:05,28,2,C大阪,広島,32,12,24.8,47,7897,0
252,9442,"2006,10,28",14:00,29,1,大宮,FC東京,4,12,21.3,51,10074,7
253,9443,"2006,10,28",14:04,29,1,川崎F,京都,55,2,22.1,52,10505,7
254,9444,"2006,10,28",14:04,29,1,甲府,C大阪,35,1,22.5,45,9852,7
255,9445,"2006,10,28",14:04,29,1,新潟,福岡,39,1,20.3,48,38203,7
256,9446,"2006,10,28",14:05,29,1,磐田,浦和,17,2,22.2,66,16162,7
257,9447,"2006,10,28",14:00,29,1,名古屋,千葉,56,9,22.9,37,18534,7
258,9448,"2006,10,28",14:04,29,1,広島,横浜FM,38,1,23.0,55,16162,7
259,9449,"2006,10,29",15:04,29,2,G大阪,清水,21,26,22.2,43,19170,0
260,9450,"2006,10,29",15:05,29,2,大分,鹿島,22,1,21.1,49,28690,0
261,9451,"2006,11,11",15:05,30,1,鹿島,G大阪,52,29,19.5,66,14663,7
262,9452,"2006,11,11",15:04,30,1,浦和,横浜FM,29,34,14.8,83,52582,7
263,9453,"2006,11,11",15:01,30,1,千葉,新潟,14,32,17.6,84,11286,7
264,9454,"2006,11,11",15:04,30,1,FC東京,川崎F,27,37,14.8,77,23251,7
265,9455,"2006,11,11",15:04,30,1,清水,大宮,40,32,16.1,90,9079,7
266,9456,"2006,11,11",15:04,30,1,京都,甲府,23,12,15.5,87,5566,7
267,9457,"2006,11,11",15:03,30,1,C大阪,磐田,32,34,16.8,77,7873,7
268,9458,"2006,11,11",15:05,30,1,福岡,広島,46,34,14.1,80,11505,7
269,9459,"2006,11,11",15:05,30,1,大分,名古屋,22,0,15.6,77,19273,7
270,9460,"2006,11,18",14:01,31,1,大宮,鹿島,29,1,13.7,42,12094,7
271,9461,"2006,11,18",14:04,31,1,川崎F,福岡,55,12,14.6,38,12871,7
272,9462,"2006,11,18",14:05,31,1,横浜FM,清水,41,12,14.4,36,20258,7
273,9463,"2006,11,18",14:04,31,1,甲府,大分,35,12,13.4,38,9156,7
274,9464,"2006,11,18",14:04,31,1,磐田,FC東京,17,12,14.7,52,14406,7
275,9465,"2006,11,18",14:04,31,1,名古屋,浦和,56,0,13.1,62,32109,7
276,9466,"2006,11,18",14:04,31,1,広島,京都,38,32,8.4,76,8182,7
277,9467,"2006,11,19",15:05,31,2,新潟,C大阪,39,14,13.2,53,40393,0
278,9468,"2006,11,19",15:05,31,2,G大阪,千葉,21,32,12.6,83,16950,0
279,9469,"2006,11,23",15:00,32,1,鹿島,新潟,52,12,13.1,49,12178,5
280,9470,"2006,11,23",15:04,32,1,浦和,甲府,29,12,13.4,48,57781,5
281,9471,"2006,11,23",15:01,32,1,千葉,広島,14,12,14.3,48,12049,5
282,9472,"2006,11,23",15:04,32,1,FC東京,横浜FM,27,12,12.3,45,23553,5
283,9473,"2006,11,23",15:04,32,1,清水,川崎F,40,12,14.4,60,12172,5
284,9474,"2006,11,23",15:04,32,1,京都,磐田,23,12,12.1,59,13785,5
285,9475,"2006,11,23",15:04,32,1,C大阪,名古屋,32,12,13.3,45,8737,5
286,9476,"2006,11,23",15:05,32,1,福岡,G大阪,46,32,11.1,84,20187,5
287,9477,"2006,11,23",15:00,32,1,大分,大宮,22,0,13.5,72,15841,5
288,9478,"2006,11,26",14:04,33,1,大宮,C大阪,29,12,15.9,44,9285,0
289,9479,"2006,11,26",14:03,33,1,FC東京,浦和,27,29,11.2,58,41528,0
290,9480,"2006,11,26",14:00,33,1,川崎F,鹿島,55,12,13.4,49,17518,0
291,9481,"2006,11,26",14:00,33,1,横浜FM,大分,41,12,13.3,46,24895,0
292,9482,"2006,11,26",14:03,33,1,甲府,千葉,35,12,9.1,50,15069,0
293,9483,"2006,11,26",14:00,33,1,磐田,清水,57,12,17.1,63,37711,0
294,9484,"2006,11,26",14:02,33,1,名古屋,福岡,26,14,14.1,66,10707,0
295,9485,"2006,11,26",14:05,33,1,G大阪,京都,21,14,14.3,73,16768,0
296,9486,"2006,11,26",14:02,33,1,広島,新潟,38,32,13.8,91,11214,0
297,9487,"2006,12,2",14:02,34,1,鹿島,磐田,52,1,14.8,40,16433,7
298,9488,"2006,12,2",14:04,34,1,浦和,G大阪,29,1,15.6,34,62241,7
299,9489,"2006,12,2",14:00,34,1,千葉,横浜FM,14,1,14.8,36,17175,7
300,9490,"2006,12,2",14:04,34,1,新潟,大宮,39,32,8.1,72,33993,7
301,9491,"2006,12,2",14:04,34,1,清水,広島,40,1,14.5,31,13581,7
302,9492,"2006,12,2",14:04,34,1,京都,名古屋,23,12,13.3,48,9110,7
303,9493,"2006,12,2",14:04,34,1,C大阪,川崎F,32,34,12.1,72,9278,7
304,9494,"2006,12,2",14:04,34,1,福岡,甲府,46,12,11.2,40,14703,7
305,9495,"2006,12,2",14:04,34,1,大分,FC東京,22,12,13.1,44,20854,7
306,9985,"2007,3,3",14:03,1,1,FC東京,広島,27,1,14.8,54,25257,7
307,9986,"2007,3,3",14:05,1,1,横浜FM,甲府,41,12,14.8,58,24466,7
308,9987,"2007,3,3",14:05,1,1,大分,新潟,22,1,19.8,54,20039,7
309,9988,"2007,3,3",15:00,1,1,川崎F,鹿島,55,2,15.4,60,20295,7
310,9989,"2007,3,3",15:03,1,1,清水,神戸,40,12,15.3,64,18333,7
311,9990,"2007,3,3",16:03,1,1,浦和,横浜FC,29,2,15.2,64,57188,7
