,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,venue_id,day_of_the_week,month,year,kick_off_time_hour,home_team_id,capacity,away_team_id
171,9361,2006-08-26,18:03,20,1,大宮,川崎F,熊谷スポーツ文化公園陸上競技場,12,25.5,72.0,9076,51,6,8,2006,18,8,15002,10
172,9362,2006-08-26,18:30,20,1,鹿島,広島,県立カシマサッカースタジアム,12,26.0,64.0,14052,52,6,8,2006,18,28,37496,11
173,9363,2006-08-26,18:34,20,1,甲府,磐田,山梨県小瀬スポーツ公園陸上競技場,32,25.1,75.0,14227,35,6,8,2006,18,23,15859,24
174,9364,2006-08-26,19:04,20,1,新潟,大分,新潟スタジアム,1,27.0,62.0,40466,39,6,8,2006,19,13,41684,7
175,9365,2006-08-26,19:04,20,1,清水,FC東京,日本平スタジアム,12,26.8,58.0,16177,40,6,8,2006,19,21,20248,1
176,9366,2006-08-26,19:05,20,1,C大阪,浦和,大阪長居スタジアム,12,29.3,69.0,23386,31,6,8,2006,19,0,47853,20
177,9367,2006-08-26,19:00,20,1,福岡,千葉,東平尾公園博多の森球技場,1,26.6,86.0,17738,46,6,8,2006,19,26,22331,5
178,9368,2006-08-27,19:05,20,2,名古屋,G大阪,名古屋市瑞穂陸上競技場,12,27.0,73.0,17556,26,0,8,2006,19,6,20223,2
179,9369,2006-08-27,19:04,20,2,京都,横浜FM,京都市西京極総合運動公園陸上競技場兼球技場,12,26.3,89.0,8886,23,0,8,2006,19,3,20588,19
180,9370,2006-08-30,18:30,21,1,千葉,川崎F,フクダ電子アリーナ,12,24.2,82.0,11433,14,3,8,2006,18,5,19470,10
181,9371,2006-08-30,18:59,21,1,鹿島,名古屋,県立カシマサッカースタジアム,12,24.4,84.0,9457,52,3,8,2006,18,28,37496,6
182,9372,2006-08-30,19:04,21,1,大宮,福岡,さいたま市浦和駒場スタジアム,12,25.9,68.0,4873,4,3,8,2006,19,8,21500,26
183,9373,2006-08-30,19:04,21,1,FC東京,C大阪,国立競技場,12,26.3,60.0,21041,28,3,8,2006,19,1,54224,0
184,9374,2006-08-30,19:05,21,1,横浜FM,甲府,横浜市三ツ沢公園球技場,34,25.1,74.0,12384,49,3,8,2006,19,19,15440,23
185,9375,2006-08-30,19:00,21,1,清水,京都,日本平スタジアム,12,26.7,83.0,9249,40,3,8,2006,19,21,20248,3
186,9376,2006-08-30,19:03,21,1,G大阪,新潟,万博記念競技場,12,26.1,63.0,13979,21,3,8,2006,19,2,21000,13
187,9377,2006-08-30,19:04,21,1,広島,磐田,広島ビッグアーチ,12,25.4,80.0,9513,38,3,8,2006,19,11,36894,24
188,9378,2006-08-30,19:04,21,1,大分,浦和,九州石油ドーム,0,25.7,90.0,27843,22,3,8,2006,19,7,31997,20
189,9379,2006-09-09,16:04,22,1,横浜FM,川崎F,日産スタジアム,2,29.3,68.0,22769,41,6,9,2006,16,19,72081,10
190,9380,2006-09-09,18:02,22,1,広島,名古屋,広島ビッグアーチ,12,25.6,90.0,9299,38,6,9,2006,18,11,36894,6
