,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,day_of_the_week,kick_off_time_hour,month,home_team_id,capacity,away_team_id,match_date_tear
24,9214,"2006,3,18",16:04,3,1,千葉,福岡,14,14,13.9,58,8567,6,16,3,5,19470,26,2006
25,9215,"2006,3,18",16:05,3,1,横浜FM,C大阪,41,32,12.3,76,19307,6,16,3,19,72081,0,2006
26,9216,"2006,3,18",19:04,3,1,G大阪,大分,21,32,9.0,79,8388,6,19,3,2,21000,7,2006
27,9217,"2006,3,21",14:04,4,1,鹿島,甲府,52,1,15.3,24,14815,2,14,3,28,37496,23,2006
28,9218,"2006,3,21",14:04,4,1,福岡,名古屋,46,14,12.5,47,8585,2,14,3,26,22331,6,2006
29,9219,"2006,3,21",15:04,4,1,浦和,C大阪,29,1,16.5,25,43815,2,15,3,20,62010,0,2006
30,9220,"2006,3,21",15:01,4,1,新潟,磐田,39,12,7.3,43,37585,2,15,3,13,41684,24,2006
31,9221,"2006,3,21",15:04,4,1,清水,千葉,40,1,13.9,32,12114,2,15,3,21,20248,5,2006
32,9222,"2006,3,21",15:04,4,1,大分,横浜FM,22,26,13.4,50,17341,2,15,3,7,31997,19,2006
33,9223,"2006,3,21",16:04,4,1,川崎F,FC東京,55,1,16.4,24,14191,2,16,3,10,26827,1,2006
34,9224,"2006,3,21",19:04,4,1,京都,広島,23,1,9.1,66,5556,2,19,3,3,20588,11,2006
35,9225,"2006,3,29",19:02,4,2,G大阪,大宮,21,12,5.9,42,9019,3,19,3,2,21000,8,2006
36,9226,"2006,3,25",15:00,5,1,大宮,清水,4,1,15.3,31,7354,6,15,3,8,21500,21,2006
37,9227,"2006,3,25",15:04,5,1,磐田,川崎F,17,1,13.6,58,11835,6,15,3,24,15165,10,2006
38,9228,"2006,3,25",15:02,5,1,C大阪,新潟,31,1,12.8,30,9442,6,15,3,0,47853,13,2006
39,9229,"2006,3,25",15:04,5,1,広島,G大阪,38,1,14.3,29,13067,6,15,3,11,36894,2,2006
40,9230,"2006,3,25",15:34,5,1,横浜FM,浦和,41,1,13.9,45,50572,6,15,3,19,72081,20,2006
41,9231,"2006,3,25",18:05,5,1,甲府,福岡,35,1,11.4,46,8604,6,18,3,23,15859,26,2006
42,9232,"2006,3,25",19:04,5,1,千葉,鹿島,14,1,9.9,63,16546,6,19,3,5,19470,28,2006
43,9233,"2006,3,26",14:05,5,2,名古屋,大分,26,1,15.9,44,11878,0,14,3,6,20223,7,2006
44,9234,"2006,3,26",16:04,5,2,FC東京,京都,27,12,16.1,38,17033,0,16,3,1,48999,3,2006
45,9235,"2006,4,1",15:02,6,1,横浜FM,FC東京,41,1,13.8,46,20977,6,15,4,19,72081,1,2006
46,9236,"2006,4,1",15:04,6,1,C大阪,甲府,31,12,13.1,33,6282,6,15,4,0,47853,23,2006
47,9237,"2006,4,1",19:04,6,1,清水,G大阪,40,12,10.0,64,10661,6,19,4,21,20248,2,2006
48,9238,"2006,4,2",14:04,6,2,京都,福岡,23,32,16.0,85,3670,0,14,4,3,20588,26,2006
49,9239,"2006,4,2",15:04,6,2,鹿島,大宮,52,14,16.9,69,11747,0,15,4,28,37496,8,2006
50,9240,"2006,4,2",15:00,6,2,川崎F,千葉,55,32,15.6,83,10316,0,15,4,10,26827,5,2006
51,9241,"2006,4,2",15:04,6,2,新潟,広島,39,32,10.5,71,34071,0,15,4,13,41684,11,2006
52,9242,"2006,4,2",15:04,6,2,大分,磐田,22,0,21.2,29,17406,0,15,4,7,31997,24,2006
53,9243,"2006,4,2",16:04,6,2,浦和,名古屋,29,14,15.9,79,44625,0,16,4,20,62010,6,2006
54,9244,"2006,4,8",14:00,7,1,甲府,新潟,47,12,7.9,45,14599,6,14,4,23,20336,13,2006
55,9245,"2006,4,8",15:05,7,1,大宮,横浜FM,4,1,17.4,28,8370,6,15,4,8,21500,19,2006
56,9246,"2006,4,8",15:02,7,1,千葉,C大阪,14,7,14.8,53,8770,6,15,4,5,19470,0,2006
57,9247,"2006,4,8",15:04,7,1,名古屋,京都,56,0,13.9,37,15311,6,15,4,6,41255,3,2006
58,9248,"2006,4,8",15:04,7,1,広島,川崎F,38,1,19.1,17,7418,6,15,4,11,36894,10,2006
59,9249,"2006,4,8",16:03,7,1,FC東京,磐田,27,1,15.5,25,24214,6,16,4,1,48999,24,2006
60,9250,"2006,4,8",19:04,7,1,G大阪,鹿島,21,12,12.9,31,17967,6,19,4,2,21000,28,2006
61,9251,"2006,4,9",13:04,7,2,清水,大分,40,1,18.6,37,10039,0,13,4,21,20248,7,2006
62,9252,"2006,4,9",15:05,7,2,福岡,浦和,46,12,20.3,28,21545,0,15,4,26,22331,20,2006
63,9253,"2006,4,15",15:02,8,1,鹿島,清水,52,1,10.4,51,12361,6,15,4,28,37496,21,2006
64,9254,"2006,4,15",15:05,8,1,浦和,京都,29,1,13.8,35,40657,6,15,4,20,62010,3,2006
65,9255,"2006,4,15",15:04,8,1,C大阪,福岡,31,32,12.5,71,10421,6,15,4,0,47853,26,2006
66,9256,"2006,4,15",15:04,8,1,大分,甲府,22,0,10.6,87,15138,6,15,4,7,31997,23,2006
67,9257,"2006,4,15",15:34,8,1,新潟,名古屋,39,9,15.6,24,39322,6,15,4,13,41684,6,2006
68,9258,"2006,4,15",16:04,8,1,FC東京,千葉,27,1,12.4,29,21190,6,16,4,1,48999,5,2006
69,9259,"2006,4,15",19:04,8,1,横浜FM,G大阪,41,1,10.7,36,28885,6,19,4,19,72081,2,2006
70,9260,"2006,4,16",15:05,8,2,川崎F,大宮,55,12,11.4,69,11149,0,15,4,10,26827,8,2006
71,9261,"2006,4,16",15:04,8,2,磐田,広島,17,1,18.2,42,11788,0,15,4,24,15165,11,2006
72,9262,"2006,4,22",14:00,9,1,名古屋,川崎F,26,12,17.0,44,11810,6,14,4,6,20223,10,2006
73,9263,"2006,4,22",14:03,9,1,G大阪,FC東京,21,12,15.8,42,15103,6,14,4,2,21000,1,2006
74,9264,"2006,4,22",15:00,9,1,大宮,大分,4,2,18.3,28,6162,6,15,4,8,21500,7,2006
75,9265,"2006,4,22",15:05,9,1,千葉,磐田,14,1,15.8,48,15184,6,15,4,5,19470,24,2006
76,9266,"2006,4,22",15:04,9,1,京都,鹿島,23,12,16.1,50,12295,6,15,4,3,20588,28,2006
77,9267,"2006,4,22",15:04,9,1,広島,C大阪,38,32,10.1,83,6794,6,15,4,11,36894,0,2006
78,9268,"2006,4,22",19:04,9,1,清水,浦和,57,12,13.5,60,23406,6,19,4,21,51697,20,2006
79,9269,"2006,4,23",15:04,9,2,甲府,横浜FM,35,12,18.3,55,14615,0,15,4,23,15859,19,2006
80,9270,"2006,4,23",15:05,9,2,福岡,新潟,46,1,18.1,66,8667,0,15,4,26,22331,13,2006
81,9271,"2006,4,29",15:00,10,1,鹿島,福岡,52,12,18.8,53,13450,6,15,4,28,37496,26,2006
82,9272,"2006,4,29",15:04,10,1,浦和,大宮,29,21,16.1,70,54774,6,15,4,20,62010,8,2006
83,9273,"2006,4,29",15:00,10,1,川崎F,清水,55,34,15.8,76,13300,6,15,4,10,26827,21,2006
84,9274,"2006,4,29",15:06,10,1,横浜FM,広島,41,12,16.3,78,20232,6,15,4,19,72081,11,2006
85,9275,"2006,4,29",15:02,10,1,C大阪,京都,31,1,17.8,48,20268,6,15,4,0,47853,3,2006
86,9276,"2006,4,29",15:04,10,1,大分,千葉,22,2,21.6,61,20543,6,15,4,7,31997,5,2006
87,9277,"2006,4,29",19:04,10,1,FC東京,名古屋,27,12,15.2,70,22188,6,19,4,1,48999,6,2006
88,9278,"2006,4,30",13:04,10,2,磐田,甲府,17,1,21.8,63,14642,0,13,4,24,15165,23,2006
89,9279,"2006,4,30",15:04,10,2,新潟,G大阪,39,32,19.3,42,41430,0,15,4,13,41684,2,2006
90,9280,"2006,5,3",14:04,11,1,甲府,FC東京,35,1,22.4,31,15427,3,14,5,23,15859,1,2006
91,9281,"2006,5,3",15:04,11,1,鹿島,大分,52,1,15.8,46,22948,3,15,5,28,37496,7,2006
92,9282,"2006,5,3",15:04,11,1,清水,C大阪,40,2,17.8,51,18241,3,15,5,21,20248,0,2006
93,9283,"2006,5,3",15:04,11,1,京都,新潟,23,1,22.8,27,11221,3,15,5,3,20588,13,2006
94,9284,"2006,5,3",15:00,11,1,福岡,川崎F,46,1,17.1,54,11101,3,15,5,26,22331,10,2006
95,9285,"2006,5,3",16:04,11,1,大宮,広島,4,1,17.3,36,9031,3,16,5,8,21500,11,2006
96,9286,"2006,5,3",16:03,11,1,千葉,浦和,14,1,14.4,48,17438,3,16,5,5,19470,20,2006
97,9287,"2006,5,3",19:04,11,1,名古屋,横浜FM,56,1,14.5,67,25687,3,19,5,6,41255,19,2006
98,9288,"2006,7,12",19:04,11,2,G大阪,磐田,53,34,26.9,95,15343,3,19,7,2,20261,24,2006
99,9289,"2006,5,6",15:04,12,1,FC東京,大宮,27,1,23.2,45,25128,6,15,5,1,48999,8,2006
100,9290,"2006,5,6",15:04,12,1,横浜FM,千葉,41,1,22.2,50,32073,6,15,5,19,72081,5,2006
101,9291,"2006,5,6",15:04,12,1,磐田,名古屋,57,12,20.0,60,36376,6,15,5,24,51697,6,2006
102,9292,"2006,5,6",15:04,12,1,大分,京都,22,0,21.3,68,21874,6,15,5,7,31997,3,2006
103,9293,"2006,5,6",17:06,12,1,広島,福岡,38,32,16.4,94,12466,6,17,5,11,36894,26,2006
104,9294,"2006,5,6",19:04,12,1,新潟,清水,39,9,17.3,66,42056,6,19,5,13,41684,21,2006
105,9295,"2006,5,6",19:05,12,1,G大阪,甲府,21,14,21.4,42,18193,6,19,5,2,21000,23,2006
106,9296,"2006,5,7",15:04,12,2,浦和,鹿島,29,32,19.6,79,56982,0,15,5,20,62010,28,2006
107,9297,"2006,5,7",15:05,12,2,川崎F,C大阪,55,38,18.9,82,9430,0,15,5,10,26827,0,2006
108,9298,"2006,7,19",19:04,13,1,鹿島,川崎F,52,12,21.4,80,7427,3,19,7,28,37496,10,2006
109,9299,"2006,7,19",19:04,13,1,大宮,磐田,4,12,22.4,83,5806,3,19,7,8,21500,24,2006
110,9300,"2006,7,19",19:04,13,1,千葉,G大阪,14,12,21.4,85,15322,3,19,7,5,19470,2,2006
111,9301,"2006,7,19",19:04,13,1,甲府,京都,35,12,22.3,83,8025,3,19,7,23,15859,3,2006
112,9302,"2006,7,19",19:04,13,1,新潟,浦和,39,1,23.5,76,38592,3,19,7,13,41684,20,2006
113,9303,"2006,7,19",19:02,13,1,清水,横浜FM,40,12,22.6,79,10183,3,19,7,21,20248,19,2006
114,9304,"2006,7,19",19:01,13,1,名古屋,広島,26,1,26.5,64,6760,3,19,7,6,20223,11,2006
115,9305,"2006,7,19",19:00,13,1,C大阪,大分,31,12,24.6,79,6806,3,19,7,0,47853,7,2006
116,9306,"2006,7,19",19:04,13,1,福岡,FC東京,46,32,23.2,96,12142,3,19,7,26,22331,1,2006
117,9307,"2006,7,22",18:06,14,1,FC東京,鹿島,47,1,25.1,54,17070,6,18,7,1,20336,28,2006
118,9308,"2006,7,22",18:06,14,1,広島,千葉,38,1,24.6,87,13432,6,18,7,11,36894,5,2006
119,9309,"2006,7,22",19:00,14,1,大宮,甲府,4,12,24.5,80,7493,6,19,7,8,21500,23,2006
120,9310,"2006,7,22",19:04,14,1,川崎F,浦和,55,12,24.4,77,23005,6,19,7,10,26827,20,2006
121,9311,"2006,7,22",19:02,14,1,磐田,C大阪,17,12,25.1,75,13524,6,19,7,24,15165,0,2006
122,9312,"2006,7,22",19:05,14,1,G大阪,名古屋,21,12,26.7,75,17864,6,19,7,2,21000,6,2006
123,9313,"2006,7,22",19:04,14,1,大分,新潟,22,15,26.1,80,19304,6,19,7,7,31997,13,2006
124,9314,"2006,7,23",19:05,14,2,横浜FM,福岡,41,21,24.8,84,19223,0,19,7,19,72081,26,2006
125,9315,"2006,7,23",19:05,14,2,京都,清水,23,32,22.8,98,9005,0,19,7,3,20588,21,2006
126,9316,"2006,7,26",19:04,15,1,浦和,大分,4,1,28.3,68,16040,3,19,7,20,21500,7,2006
127,9317,"2006,7,26",19:05,15,1,川崎F,G大阪,55,1,26.8,74,20425,3,19,7,10,26827,2,2006
128,9318,"2006,7,26",19:02,15,1,新潟,鹿島,39,1,24.5,73,39278,3,19,7,13,41684,28,2006
129,9319,"2006,7,26",19:04,15,1,磐田,横浜FM,17,1,25.8,79,12875,3,19,7,24,15165,19,2006
130,9320,"2006,7,26",19:00,15,1,名古屋,大宮,26,1,30.4,66,6618,3,19,7,6,20223,8,2006
131,9321,"2006,7,26",19:04,15,1,京都,千葉,23,1,30.5,74,13225,3,19,7,3,20588,5,2006
132,9322,"2006,7,26",19:05,15,1,C大阪,FC東京,31,1,28.8,83,8027,3,19,7,0,47853,1,2006
133,9323,"2006,7,26",19:00,15,1,広島,甲府,38,21,25.0,89,5545,3,19,7,11,36894,23,2006
134,9324,"2006,7,26",19:00,15,1,福岡,清水,46,1,28.3,78,13655,3,19,7,26,22331,21,2006
135,9325,"2006,7,29",18:04,16,1,大宮,京都,51,12,29.8,51,7278,6,18,7,8,15002,3,2006
136,9326,"2006,7,29",18:34,16,1,FC東京,広島,27,12,27.7,72,31684,6,18,7,1,48999,11,2006
137,9327,"2006,7,29",18:34,16,1,甲府,浦和,35,12,28.1,62,17000,6,18,7,23,15859,20,2006
138,9328,"2006,7,29",19:05,16,1,鹿島,C大阪,52,12,24.1,88,14289,6,19,7,28,37496,0,2006
139,9329,"2006,7,29",19:05,16,1,清水,磐田,57,12,28.0,65,24920,6,19,7,21,51697,24,2006
140,9330,"2006,7,29",19:04,16,1,G大阪,福岡,21,1,27.3,75,14621,6,19,7,2,21000,26,2006
141,9331,"2006,7,29",19:04,16,1,大分,川崎F,22,1,29.6,73,20873,6,19,7,7,31997,10,2006
142,9332,"2006,7,30",19:04,16,2,千葉,名古屋,14,1,22.8,74,16961,0,19,7,5,19470,6,2006
143,9333,"2006,7,30",19:04,16,2,横浜FM,新潟,41,12,24.7,59,24032,0,19,7,19,72081,13,2006
144,9334,"2006,8,12",18:00,17,1,広島,清水,38,1,27.3,82,10569,6,18,8,11,36894,21,2006
145,9335,"2006,8,12",19:04,17,1,浦和,FC東京,29,1,24.1,88,50195,6,19,8,20,62010,1,2006
146,9336,"2006,8,12",19:04,17,1,川崎F,横浜FM,55,12,24.1,81,20144,6,19,8,10,26827,19,2006
147,9337,"2006,8,12",19:00,17,1,新潟,千葉,39,1,27.2,59,41487,6,19,8,13,41684,5,2006
148,9338,"2006,8,12",19:04,17,1,磐田,鹿島,57,12,24.9,80,30353,6,19,8,24,51697,28,2006
149,9339,"2006,8,12",19:01,17,1,名古屋,甲府,26,12,27.1,73,12454,6,19,8,6,20223,23,2006
150,9340,"2006,8,12",19:04,17,1,京都,G大阪,23,1,27.3,76,16089,6,19,8,3,20588,2,2006
151,9341,"2006,8,12",19:00,17,1,C大阪,大宮,31,1,29.4,69,12616,6,19,8,0,47853,8,2006
152,9342,"2006,8,12",19:04,17,1,福岡,大分,46,1,28.7,75,18205,6,19,8,26,22331,7,2006
153,9343,"2006,8,19",19:04,18,1,鹿島,浦和,52,12,27.8,82,34236,6,19,8,28,37496,20,2006
154,9344,"2006,8,19",19:04,18,1,大宮,G大阪,4,1,30.4,66,11355,6,19,8,8,21500,2,2006
155,9345,"2006,8,19",19:04,18,1,新潟,川崎F,39,1,29.8,83,38611,6,19,8,13,41684,10,2006
156,9346,"2006,8,19",19:04,18,1,清水,甲府,40,1,27.4,80,15410,6,19,8,21,20248,23,2006
157,9347,"2006,8,19",19:00,18,1,名古屋,磐田,26,1,28.4,80,14392,6,19,8,6,20223,24,2006
158,9348,"2006,8,19",19:02,18,1,C大阪,横浜FM,31,12,30.6,66,18609,6,19,8,0,47853,19,2006
159,9349,"2006,8,19",19:00,18,1,福岡,京都,46,12,24.4,84,10387,6,19,8,26,22331,3,2006
160,9350,"2006,8,20",18:05,18,2,広島,大分,38,1,27.9,82,10145,0,18,8,11,36894,7,2006
161,9351,"2006,8,20",19:04,18,2,千葉,FC東京,14,1,27.3,89,17261,0,19,8,5,19470,1,2006
162,9352,"2006,8,23",19:04,19,1,浦和,新潟,29,1,27.6,84,34417,3,19,8,20,62010,13,2006
163,9353,"2006,8,23",19:04,19,1,FC東京,福岡,28,12,28.6,64,18533,3,19,8,1,54224,26,2006
164,9354,"2006,8,23",19:01,19,1,川崎F,名古屋,55,12,28.8,67,11306,3,19,8,10,26827,6,2006
165,9355,"2006,8,23",19:05,19,1,横浜FM,大宮,49,12,27.1,80,11623,3,19,8,19,15440,8,2006
166,9356,"2006,8,23",19:04,19,1,甲府,鹿島,35,12,27.3,76,12115,3,19,8,23,15859,28,2006
167,9357,"2006,8,23",19:02,19,1,磐田,千葉,17,12,27.6,81,11992,3,19,8,24,15165,5,2006
168,9358,"2006,8,23",19:04,19,1,京都,C大阪,23,1,27.5,61,11291,3,19,8,3,20588,0,2006
169,9359,"2006,8,23",19:04,19,1,G大阪,広島,21,1,27.4,55,17826,3,19,8,2,21000,11,2006
170,9360,"2006,8,23",19:04,19,1,大分,清水,22,1,29.3,70,18864,3,19,8,7,31997,21,2006
171,9361,"2006,8,26",18:03,20,1,大宮,川崎F,51,12,25.5,72,9076,6,18,8,8,15002,10,2006
172,9362,"2006,8,26",18:30,20,1,鹿島,広島,52,12,26.0,64,14052,6,18,8,28,37496,11,2006
173,9363,"2006,8,26",18:34,20,1,甲府,磐田,35,32,25.1,75,14227,6,18,8,23,15859,24,2006
174,9364,"2006,8,26",19:04,20,1,新潟,大分,39,1,27.0,62,40466,6,19,8,13,41684,7,2006
175,9365,"2006,8,26",19:04,20,1,清水,FC東京,40,12,26.8,58,16177,6,19,8,21,20248,1,2006
176,9366,"2006,8,26",19:05,20,1,C大阪,浦和,31,12,29.3,69,23386,6,19,8,0,47853,20,2006
177,9367,"2006,8,26",19:00,20,1,福岡,千葉,46,1,26.6,86,17738,6,19,8,26,22331,5,2006
178,9368,"2006,8,27",19:05,20,2,名古屋,G大阪,26,12,27.0,73,17556,0,19,8,6,20223,2,2006
179,9369,"2006,8,27",19:04,20,2,京都,横浜FM,23,12,26.3,89,8886,0,19,8,3,20588,19,2006
180,9370,"2006,8,30",18:30,21,1,千葉,川崎F,14,12,24.2,82,11433,3,18,8,5,19470,10,2006
181,9371,"2006,8,30",18:59,21,1,鹿島,名古屋,52,12,24.4,84,9457,3,18,8,28,37496,6,2006
182,9372,"2006,8,30",19:04,21,1,大宮,福岡,4,12,25.9,68,4873,3,19,8,8,21500,26,2006
183,9373,"2006,8,30",19:04,21,1,FC東京,C大阪,28,12,26.3,60,21041,3,19,8,1,54224,0,2006
184,9374,"2006,8,30",19:05,21,1,横浜FM,甲府,49,34,25.1,74,12384,3,19,8,19,15440,23,2006
185,9375,"2006,8,30",19:00,21,1,清水,京都,40,12,26.7,83,9249,3,19,8,21,20248,3,2006
186,9376,"2006,8,30",19:03,21,1,G大阪,新潟,21,12,26.1,63,13979,3,19,8,2,21000,13,2006
187,9377,"2006,8,30",19:04,21,1,広島,磐田,38,12,25.4,80,9513,3,19,8,11,36894,24,2006
188,9378,"2006,8,30",19:04,21,1,大分,浦和,22,0,25.7,90,27843,3,19,8,7,31997,20,2006
189,9379,"2006,9,9",16:04,22,1,横浜FM,川崎F,41,2,29.3,68,22769,6,16,9,19,72081,10,2006
190,9380,"2006,9,9",18:02,22,1,広島,名古屋,38,12,25.6,90,9299,6,18,9,11,36894,6,2006
191,9381,"2006,9,9",18:34,22,1,FC東京,甲府,27,12,27.5,79,21382,6,18,9,1,48999,23,2006
192,9382,"2006,9,9",19:04,22,1,千葉,清水,14,12,26.2,86,13463,6,19,9,5,19470,21,2006
193,9383,"2006,9,9",19:00,22,1,磐田,新潟,17,1,27.0,90,11471,6,19,9,24,15165,13,2006
194,9384,"2006,9,9",19:04,22,1,G大阪,C大阪,21,1,29.4,64,20463,6,19,9,2,21000,0,2006
195,9385,"2006,9,9",19:04,22,1,大分,福岡,22,0,25.8,86,26841,6,19,9,7,31997,26,2006
196,9386,"2006,9,10",19:04,22,2,鹿島,京都,52,1,27.3,77,9142,0,19,9,28,37496,3,2006
197,9387,"2006,9,10",19:05,22,2,大宮,浦和,29,1,28.6,75,35059,0,19,9,8,62010,20,2006
198,9388,"2006,9,16",14:04,23,1,京都,FC東京,23,12,26.1,59,8440,6,14,9,3,20588,1,2006
199,9389,"2006,9,16",14:04,23,1,大分,G大阪,22,27,26.3,88,25384,6,14,9,7,31997,2,2006
200,9390,"2006,9,16",15:04,23,1,清水,鹿島,28,12,25.3,46,20800,6,15,9,21,54224,28,2006
201,9391,"2006,9,16",19:04,23,1,浦和,広島,29,12,21.3,76,39123,6,19,9,20,62010,11,2006
202,9392,"2006,9,16",19:00,23,1,名古屋,新潟,26,12,24.2,58,9308,6,19,9,6,20223,13,2006
203,9393,"2006,9,16",19:04,23,1,C大阪,千葉,31,1,25.0,57,19036,6,19,9,0,47853,5,2006
204,9394,"2006,9,16",19:04,23,1,福岡,横浜FM,46,34,23.1,88,12519,6,19,9,26,22331,19,2006
205,9395,"2006,9,17",19:04,23,2,川崎F,磐田,55,32,21.3,88,15482,0,19,9,10,26827,24,2006
206,9396,"2006,9,17",19:04,23,2,甲府,大宮,35,12,22.3,79,10150,0,19,9,23,15859,8,2006
207,9397,"2006,9,23",15:04,24,1,浦和,清水,29,1,23.3,58,48378,6,15,9,20,62010,21,2006
208,9398,"2006,9,23",15:05,24,1,横浜FM,名古屋,41,1,23.6,42,21665,6,15,9,19,72081,6,2006
209,9399,"2006,9,23",15:02,24,1,福岡,C大阪,46,1,22.9,55,12654,6,15,9,26,22331,0,2006
210,9400,"2006,9,23",15:34,24,1,磐田,大分,17,9,25.2,43,11218,6,15,9,24,15165,7,2006
211,9401,"2006,9,23",16:00,24,1,広島,大宮,38,1,25.3,41,10265,6,16,9,11,36894,8,2006
212,9402,"2006,9,23",18:34,24,1,千葉,京都,14,26,20.3,64,10857,6,18,9,5,19470,3,2006
213,9403,"2006,9,23",19:03,24,1,G大阪,川崎F,21,1,19.8,57,17544,6,19,9,2,21000,10,2006
214,9404,"2006,9,24",15:04,24,2,鹿島,FC東京,52,1,23.0,52,17398,0,15,9,28,37496,1,2006
215,9405,"2006,9,24",15:04,24,2,新潟,甲府,39,1,21.4,47,40422,0,15,9,13,41684,23,2006
216,9406,"2006,9,30",15:03,25,1,FC東京,新潟,27,1,25.3,49,24136,6,15,9,1,48999,13,2006
217,9407,"2006,9,30",15:04,25,1,川崎F,広島,55,12,24.7,54,12029,6,15,9,10,26827,11,2006
218,9408,"2006,9,30",15:04,25,1,横浜FM,磐田,41,12,24.3,53,25435,6,15,9,19,72081,24,2006
219,9409,"2006,9,30",17:04,25,1,京都,浦和,23,1,23.4,49,16492,6,17,9,3,20588,20,2006
220,9410,"2006,9,30",18:31,25,1,千葉,大分,14,1,21.8,80,10609,6,18,9,5,19470,7,2006
221,9411,"2006,9,30",19:04,25,1,大宮,名古屋,4,12,22.3,78,8223,6,19,9,8,21500,6,2006
222,9412,"2006,9,30",19:04,25,1,C大阪,鹿島,31,1,23.8,45,15186,6,19,9,0,47853,28,2006
223,9413,"2006,10,1",15:04,25,2,甲府,G大阪,35,32,19.8,76,15462,0,15,10,23,15859,2,2006
224,9414,"2006,10,1",15:04,25,2,清水,福岡,40,32,19.5,81,10807,0,15,10,21,20248,26,2006
225,9415,"2006,10,6",19:05,26,1,京都,大宮,23,1,21.6,68,5237,5,19,10,3,20588,8,2006
226,9416,"2006,10,7",15:04,26,2,浦和,千葉,29,1,23.0,45,48952,6,15,10,20,62010,5,2006
227,9417,"2006,10,7",15:01,26,2,川崎F,大分,55,1,24.0,40,10282,6,15,10,10,26827,7,2006
228,9418,"2006,10,7",18:05,26,2,甲府,広島,35,1,18.9,45,10222,6,18,10,23,15859,11,2006
229,9419,"2006,10,7",14:04,26,2,新潟,横浜FM,39,32,16.3,69,35603,6,14,10,13,41684,19,2006
230,9420,"2006,10,7",15:04,26,2,磐田,G大阪,57,1,24.4,36,21066,6,15,10,24,51697,2,2006
231,9421,"2006,10,7",14:04,26,2,名古屋,FC東京,26,1,23.5,40,10840,6,14,10,6,20223,1,2006
232,9422,"2006,10,7",15:04,26,2,C大阪,清水,32,26,20.6,49,7013,6,15,10,0,15516,21,2006
233,9423,"2006,10,7",15:02,26,2,福岡,鹿島,46,1,22.8,59,12181,6,15,10,26,22331,28,2006
234,9424,"2006,10,14",15:04,27,1,鹿島,千葉,52,1,19.1,46,15315,6,15,10,28,37496,5,2006
235,9425,"2006,10,14",19:04,27,1,川崎F,甲府,55,12,17.9,54,14383,6,19,10,10,26827,23,2006
